,month,0
0,2016-06,0
1,2015-01,0
2,2015-03,0
3,2015-05,0
4,2015-11,0
5,2015-05,0
6,2015-02,0
7,2016-06,0
8,2014-09,0
9,2015-12,0
10,2014-09,0
11,2016-11,0
12,2016-09,0
13,2014-10,0
14,2017-03,0
15,2015-12,0
16,2014-09,0
17,2017-02,0
18,2015-06,0
19,2016-12,0
20,2015-07,2
21,2016-10,0
22,2015-12,0
23,2016-01,2
24,2017-01,2
25,2014-04,0
26,2016-06,0
27,2016-12,0
28,2016-08,0
29,2016-01,2
30,2016-05,0
31,2015-06,0
32,2015-04,0
33,2015-08,0
34,2015-12,2
35,2015-04,0
36,2016-04,0
37,2014-06,0
38,2014-07,0
39,2014-10,0
40,2016-05,0
41,2015-05,0
42,2015-02,0
43,2014-11,0
44,2015-06,0
45,2015-08,0
46,2015-06,0
47,2014-12,0
48,2016-08,0
49,2016-02,0
50,2016-01,2
51,2016-05,0
52,2015-02,0
53,2014-06,0
54,2016-06,0
55,2016-02,0
56,2015-08,2
57,2014-09,0
58,2014-12,0
59,2015-12,2
60,2016-07,0
61,2015-07,0
62,2015-04,0
63,2014-05,0
64,2017-03,1
65,2016-05,0
66,2016-07,0
67,2016-06,0
68,2016-06,0
69,2016-11,0
70,2016-09,0
71,2014-11,0
72,2015-05,2
73,2016-04,2
74,2016-07,0
75,2016-11,0
76,2015-11,0
77,2015-07,0
78,2016-03,0
79,2016-07,0
80,2014-08,0
81,2014-12,0
82,2015-05,0
83,2015-07,0
84,2016-12,0
85,2014-09,0
86,2016-02,0
87,2015-06,0
88,2016-11,1
89,2016-01,0
90,2016-11,0
91,2016-03,0
92,2016-04,0
93,2014-10,0
94,2015-01,0
95,2016-04,0
96,2015-01,2
97,2016-01,0
98,2014-08,0
99,2016-08,0
100,2016-04,0
101,2014-09,0
102,2015-10,0
103,2015-04,0
104,2014-09,0
105,2016-03,0
106,2015-12,2
107,2014-12,0
108,2016-05,0
109,2017-02,0
110,2016-02,0
111,2015-06,0
112,2014-09,0
113,2016-10,0
114,2017-03,0
115,2015-06,0
116,2015-11,0
117,2015-12,0
118,2016-10,0
119,2015-10,0
120,2016-04,0
121,2015-09,0
122,2017-02,0
123,2015-01,0
124,2016-11,0
125,2017-02,0
126,2015-04,0
127,2016-06,0
128,2014-08,0
129,2015-08,0
130,2016-04,0
131,2015-02,2
132,2016-12,0
133,2015-07,0
134,2015-12,0
135,2016-07,1
136,2016-05,0
137,2017-03,0
138,2016-01,0
139,2017-01,0
